YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2011/09,NonStructural Fires,Bronx,166,04:36
2011/09,NonStructural Fires,Staten Island,59,05:13
2011/09,NonStructural Fires,Brooklyn,282,03:54
2011/09,NonStructural Fires,Queens,254,04:30
2011/09,Structural Fires,Citywide,"1,929",04:03
2011/09,Structural Fires,Manhattan,456,04:09
2011/09,Structural Fires,Bronx,411,04:06
2011/09,Structural Fires,Staten Island,89,04:36
2011/09,Structural Fires,Brooklyn,629,03:41
2011/09,Structural Fires,Queens,344,04:23
2011/10,All Fire/Emergency Incidents,Citywide,"41,693",04:32
2011/10,All Fire/Emergency Incidents,Manhattan,"10,780",04:34
2011/10,All Fire/Emergency Incidents,Bronx,"8,517",04:51
2011/10,All Fire/Emergency Incidents,Staten Island,"2,510",04:54
2011/10,All Fire/Emergency Incidents,Brooklyn,"11,655",04:04
2011/10,All Fire/Emergency Incidents,Queens,"8,231",04:42
2011/10,False Alarm,Citywide,"1,902",04:31
2011/10,False Alarm,Manhattan,400,04:26
2011/10,False Alarm,Bronx,525,04:39
2011/10,False Alarm,Staten Island,172,04:59
2011/10,False Alarm,Brooklyn,358,04:01
2011/10,False Alarm,Queens,447,04:39
2011/10,Medical Emergencies,Citywide,"17,995",04:09
2011/10,Medical Emergencies,Manhattan,"4,763",04:13
2011/10,Medical Emergencies,Bronx,"3,318",04:14
2011/10,Medical Emergencies,Staten Island,902,04:26
2011/10,Medical Emergencies,Brooklyn,"5,152",03:48
2011/10,Medical Emergencies,Queens,"3,860",04:26
2011/10,Medical False Alarm,Citywide,349,04:10
2011/10,Medical False Alarm,Manhattan,109,04:25
2011/10,Medical False Alarm,Bronx,90,04:18
2011/10,Medical False Alarm,Staten Island,12,04:10
2011/10,Medical False Alarm,Brooklyn,85,03:47
2011/10,Medical False Alarm,Queens,53,04:03
2011/10,NonMedical Emergencies,Citywide,"18,192",04:55
2011/10,NonMedical Emergencies,Manhattan,"4,767",04:52
2011/10,NonMedical Emergencies,Bronx,"3,931",05:23
2011/10,NonMedical Emergencies,Staten Island,"1,238",05:13
2011/10,NonMedical Emergencies,Brooklyn,"5,030",04:24
2011/10,NonMedical Emergencies,Queens,"3,226",05:04
2011/10,NonStructural Fires,Citywide,"1,093",04:10
2011/10,NonStructural Fires,Manhattan,262,04:20
2011/10,NonStructural Fires,Bronx,172,04:24
2011/10,NonStructural Fires,Staten Island,75,04:19
2011/10,NonStructural Fires,Brooklyn,347,03:41
2011/10,NonStructural Fires,Queens,237,04:29
2011/10,Structural Fires,Citywide,"2,162",04:01
2011/10,Structural Fires,Manhattan,479,04:04
2011/10,Structural Fires,Bronx,481,04:04
2011/10,Structural Fires,Staten Island,111,04:50
2011/10,Structural Fires,Brooklyn,683,03:37
2011/10,Structural Fires,Queens,408,04:21
2011/11,All Fire/Emergency Incidents,Citywide,"38,748",04:31
2011/11,All Fire/Emergency Incidents,Manhattan,"10,018",04:41
2011/11,All Fire/Emergency Incidents,Bronx,"7,736",04:49
2011/11,All Fire/Emergency Incidents,Staten Island,"2,131",04:37
2011/11,All Fire/Emergency Incidents,Brooklyn,"11,104",04:04
2011/11,All Fire/Emergency Incidents,Queens,"7,759",04:40
2011/11,False Alarm,Citywide,"1,665",04:38
2011/11,False Alarm,Manhattan,359,04:50
2011/11,False Alarm,Bronx,434,05:07
2011/11,False Alarm,Staten Island,126,04:37
2011/11,False Alarm,Brooklyn,378,03:54
2011/11,False Alarm,Queens,368,04:37
2011/11,Medical Emergencies,Citywide,"17,176",04:10
2011/11,Medical Emergencies,Manhattan,"4,465",04:16
2011/11,Medical Emergencies,Bronx,"3,173",04:17
2011/11,Medical Emergencies,Staten Island,840,04:26
2011/11,Medical Emergencies,Brooklyn,"5,000",03:50
2011/11,Medical Emergencies,Queens,"3,698",04:23
2011/11,Medical False Alarm,Citywide,240,04:14
2011/11,Medical False Alarm,Manhattan,61,04:19
2011/11,Medical False Alarm,Bronx,41,04:11
2011/11,Medical False Alarm,Staten Island,14,04:25
2011/11,Medical False Alarm,Brooklyn,79,04:10
2011/11,Medical False Alarm,Queens,45,04:15
2011/11,NonMedical Emergencies,Citywide,"16,207",04:54
2011/11,NonMedical Emergencies,Manhattan,"4,363",05:03
2011/11,NonMedical Emergencies,Bronx,"3,362",05:18
2011/11,NonMedical Emergencies,Staten Island,972,04:47
2011/11,NonMedical Emergencies,Brooklyn,"4,558",04:23
2011/11,NonMedical Emergencies,Queens,"2,952",05:00
2011/11,NonStructural Fires,Citywide,"1,109",04:14
2011/11,NonStructural Fires,Manhattan,248,04:12
2011/11,NonStructural Fires,Bronx,205,04:22
2011/11,NonStructural Fires,Staten Island,70,04:28
2011/11,NonStructural Fires,Brooklyn,316,03:52
2011/11,NonStructural Fires,Queens,270,04:34
2011/11,Structural Fires,Citywide,"2,351",04:02
2011/11,Structural Fires,Manhattan,522,04:11
2011/11,Structural Fires,Bronx,521,04:10
2011/11,Structural Fires,Staten Island,109,04:31
2011/11,Structural Fires,Brooklyn,773,03:36
2011/11,Structural Fires,Queens,426,04:23
2011/12,All Fire/Emergency Incidents,Citywide,"41,765",04:33
2011/12,All Fire/Emergency Incidents,Manhattan,"10,945",04:46
2011/12,All Fire/Emergency Incidents,Bronx,"8,122",04:48
2011/12,All Fire/Emergency Incidents,Staten Island,"2,308",04:35
2011/12,All Fire/Emergency Incidents,Brooklyn,"11,829",04:04
2011/12,All Fire/Emergency Incidents,Queens,"8,561",04:44
2011/12,False Alarm,Citywide,"1,680",04:33
2011/12,False Alarm,Manhattan,440,04:55
2011/12,False Alarm,Bronx,368,04:44
2011/12,False Alarm,Staten Island,150,04:30
2011/12,False Alarm,Brooklyn,338,03:49
2011/12,False Alarm,Queens,384,04:38
2011/12,Medical Emergencies,Citywide,"18,108",04:14
2011/12,Medical Emergencies,Manhattan,"4,799",04:23
2011/12,Medical Emergencies,Bronx,"3,231",04:23
2011/12,Medical Emergencies,Staten Island,973,04:27
2011/12,Medical Emergencies,Brooklyn,"5,150",03:52
2011/12,Medical Emergencies,Queens,"3,955",04:24
2011/12,Medical False Alarm,Citywide,296,04:13
2011/12,Medical False Alarm,Manhattan,66,04:20
2011/12,Medical False Alarm,Bronx,65,04:42
2011/12,Medical False Alarm,Staten Island,13,04:42
2011/12,Medical False Alarm,Brooklyn,100,03:42
2011/12,Medical False Alarm,Queens,52,04:25
2011/12,NonMedical Emergencies,Citywide,"18,279",04:53
2011/12,NonMedical Emergencies,Manhattan,"4,887",05:05
2011/12,NonMedical Emergencies,Bronx,"3,779",05:10
2011/12,NonMedical Emergencies,Staten Island,983,04:44
2011/12,NonMedical Emergencies,Brooklyn,"5,114",04:20
2011/12,NonMedical Emergencies,Queens,"3,516",05:06
2011/12,NonStructural Fires,Citywide,"1,048",04:20
2011/12,NonStructural Fires,Manhattan,228,04:37
2011/12,NonStructural Fires,Bronx,159,04:39
2011/12,NonStructural Fires,Staten Island,64,04:24
2011/12,NonStructural Fires,Brooklyn,374,03:56
2011/12,NonStructural Fires,Queens,223,04:31
2011/12,Structural Fires,Citywide,"2,354",04:01
2011/12,Structural Fires,Manhattan,525,04:15
2011/12,Structural Fires,Bronx,520,04:08
2011/12,Structural Fires,Staten Island,125,04:25
2011/12,Structural Fires,Brooklyn,753,03:31
2011/12,Structural Fires,Queens,431,04:22
2012/01,All Fire/Emergency Incidents,Citywide,"40,277",04:35
2012/01,All Fire/Emergency Incidents,Manhattan,"10,623",04:46
2012/01,All Fire/Emergency Incidents,Bronx,"7,973",04:49
2012/01,All Fire/Emergency Incidents,Staten Island,"2,153",04:34
2012/01,All Fire/Emergency Incidents,Brooklyn,"11,636",04:08
2012/01,All Fire/Emergency Incidents,Queens,"7,892",04:46
2012/01,False Alarm,Citywide,"1,393",04:38
2012/01,False Alarm,Manhattan,312,04:56
2012/01,False Alarm,Bronx,313,04:49
2012/01,False Alarm,Staten Island,141,04:38
2012/01,False Alarm,Brooklyn,342,04:05
2012/01,False Alarm,Queens,285,04:45
2012/01,Medical Emergencies,Citywide,"16,898",04:14
2012/01,Medical Emergencies,Manhattan,"4,237",04:20
2012/01,Medical Emergencies,Bronx,"3,307",04:24
2012/01,Medical Emergencies,Staten Island,877,04:19
2012/01,Medical Emergencies,Brooklyn,"4,891",03:51
2012/01,Medical Emergencies,Queens,"3,586",04:29
2012/01,Medical False Alarm,Citywide,236,04:10
2012/01,Medical False Alarm,Manhattan,64,04:26
2012/01,Medical False Alarm,Bronx,46,04:32
2012/01,Medical False Alarm,Staten Island,14,03:44
2012/01,Medical False Alarm,Brooklyn,71,03:40
2012/01,Medical False Alarm,Queens,41,04:29
2012/01,NonMedical Emergencies,Citywide,"18,085",04:55
2012/01,NonMedical Emergencies,Manhattan,"5,063",05:05
2012/01,NonMedical Emergencies,Bronx,"3,634",05:12
2012/01,NonMedical Emergencies,Staten Island,944,04:49
2012/01,NonMedical Emergencies,Brooklyn,"5,172",04:28
2012/01,NonMedical Emergencies,Queens,"3,272",05:07
2012/01,NonStructural Fires,Citywide,"1,424",04:21
2012/01,NonStructural Fires,Manhattan,446,04:30
2012/01,NonStructural Fires,Bronx,190,04:48
2012/01,NonStructural Fires,Staten Island,79,04:24
2012/01,NonStructural Fires,Brooklyn,430,03:48
2012/01,NonStructural Fires,Queens,279,04:36
2012/01,Structural Fires,Citywide,"2,241",04:00
2012/01,Structural Fires,Manhattan,501,04:11
2012/01,Structural Fires,Bronx,483,04:09
2012/01,Structural Fires,Staten Island,98,04:11
2012/01,Structural Fires,Brooklyn,730,03:36
2012/01,Structural Fires,Queens,429,04:18
2012/02,All Fire/Emergency Incidents,Citywide,"34,743",04:27
2012/02,All Fire/Emergency Incidents,Manhattan,"9,101",04:39
2012/02,All Fire/Emergency Incidents,Bronx,"7,020",04:44
2012/02,All Fire/Emergency Incidents,Staten Island,"1,808",04:23
2012/02,All Fire/Emergency Incidents,Brooklyn,"10,017",04:01
2012/02,All Fire/Emergency Incidents,Queens,"6,797",04:37
2012/02,False Alarm,Citywide,"1,229",04:28
2012/02,False Alarm,Manhattan,276,04:50
2012/02,False Alarm,Bronx,312,04:32
2012/02,False Alarm,Staten Island,105,04:06
2012/02,False Alarm,Brooklyn,244,03:57
2012/02,False Alarm,Queens,292,04:37
2012/02,Medical Emergencies,Citywide,"16,251",04:08
2012/02,Medical Emergencies,Manhattan,"4,155",04:13
2012/02,Medical Emergencies,Bronx,"3,140",04:18
2012/02,Medical Emergencies,Staten Island,841,04:16
2012/02,Medical Emergencies,Brooklyn,"4,737",03:47
2012/02,Medical Emergencies,Queens,"3,378",04:22
2012/02,Medical False Alarm,Citywide,204,04:08
2012/02,Medical False Alarm,Manhattan,67,04:15
2012/02,Medical False Alarm,Bronx,37,03:59
2012/02,Medical False Alarm,Staten Island,10,04:47
2012/02,Medical False Alarm,Brooklyn,59,03:44
2012/02,Medical False Alarm,Queens,31,04:31
2012/02,NonMedical Emergencies,Citywide,"14,032",04:50
2012/02,NonMedical Emergencies,Manhattan,"3,881",05:03
2012/02,NonMedical Emergencies,Bronx,"2,934",05:11
2012/02,NonMedical Emergencies,Staten Island,678,04:33
2012/02,NonMedical Emergencies,Brooklyn,"4,022",04:21
2012/02,NonMedical Emergencies,Queens,"2,517",04:57
2012/02,NonStructural Fires,Citywide,958,04:12
2012/02,NonStructural Fires,Manhattan,262,04:16
2012/02,NonStructural Fires,Bronx,129,04:46
2012/02,NonStructural Fires,Staten Island,64,04:10
2012/02,NonStructural Fires,Brooklyn,300,03:47
2012/02,NonStructural Fires,Queens,203,04:22
2012/02,Structural Fires,Citywide,"2,069",04:00
2012/02,Structural Fires,Manhattan,460,04:12
2012/02,Structural Fires,Bronx,468,04:09
2012/02,Structural Fires,Staten Island,110,04:20
2012/02,Structural Fires,Brooklyn,655,03:31
2012/02,Structural Fires,Queens,376,04:22
2012/03,All Fire/Emergency Incidents,Citywide,"38,786",04:29
2012/03,All Fire/Emergency Incidents,Manhattan,"10,355",04:40
2012/03,All Fire/Emergency Incidents,Bronx,"7,747",04:43
2012/03,All Fire/Emergency Incidents,Staten Island,"2,000",04:32
2012/03,All Fire/Emergency Incidents,Brooklyn,"10,931",04:04
2012/03,All Fire/Emergency Incidents,Queens,"7,753",04:37
2012/03,False Alarm,Citywide,"1,589",04:32
2012/03,False Alarm,Manhattan,338,04:34
2012/03,False Alarm,Bronx,370,04:52
2012/03,False Alarm,Staten Island,136,04:27
2012/03,False Alarm,Brooklyn,364,04:06
2012/03,False Alarm,Queens,381,04:38
2012/03,Medical Emergencies,Citywide,"17,665",04:06
2012/03,Medical Emergencies,Manhattan,"4,705",04:15
2012/03,Medical Emergencies,Bronx,"3,347",04:13
2012/03,Medical Emergencies,Staten Island,822,04:17
2012/03,Medical Emergencies,Brooklyn,"5,065",03:45
2012/03,Medical Emergencies,Queens,"3,726",04:18
2012/03,Medical False Alarm,Citywide,248,03:50
2012/03,Medical False Alarm,Manhattan,67,03:56
2012/03,Medical False Alarm,Bronx,45,04:16
2012/03,Medical False Alarm,Staten Island,12,03:48
2012/03,Medical False Alarm,Brooklyn,83,03:31
2012/03,Medical False Alarm,Queens,41,03:51
2012/03,NonMedical Emergencies,Citywide,"15,883",04:54
2012/03,NonMedical Emergencies,Manhattan,"4,386",05:06
2012/03,NonMedical Emergencies,Bronx,"3,341",05:10
2012/03,NonMedical Emergencies,Staten Island,822,04:44
2012/03,NonMedical Emergencies,Brooklyn,"4,422",04:28
2012/03,NonMedical Emergencies,Queens,"2,912",05:02
2012/03,NonStructural Fires,Citywide,"1,172",04:24
2012/03,NonStructural Fires,Manhattan,331,04:23
2012/03,NonStructural Fires,Bronx,182,04:41
2012/03,NonStructural Fires,Staten Island,91,04:46
2012/03,NonStructural Fires,Brooklyn,316,03:59
2012/03,NonStructural Fires,Queens,252,04:36
2012/03,Structural Fires,Citywide,"2,229",03:57
2012/03,Structural Fires,Manhattan,528,04:06
2012/03,Structural Fires,Bronx,462,04:04
2012/03,Structural Fires,Staten Island,117,04:25
2012/03,Structural Fires,Brooklyn,681,03:32
2012/03,Structural Fires,Queens,441,04:10
2012/04,All Fire/Emergency Incidents,Citywide,"37,945",04:33
2012/04,All Fire/Emergency Incidents,Manhattan,"9,955",04:46
2012/04,All Fire/Emergency Incidents,Bronx,"7,423",04:49
2012/04,All Fire/Emergency Incidents,Staten Island,"2,047",04:42
2012/04,All Fire/Emergency Incidents,Brooklyn,"10,958",04:05
2012/04,All Fire/Emergency Incidents,Queens,"7,562",04:42
2012/04,False Alarm,Citywide,"1,673",04:30
2012/04,False Alarm,Manhattan,357,04:55
2012/04,False Alarm,Bronx,420,04:35
2012/04,False Alarm,Staten Island,133,04:27
2012/04,False Alarm,Brooklyn,370,04:02
2012/04,False Alarm,Queens,393,04:28
2012/04,Medical Emergencies,Citywide,"17,060",04:09
2012/04,Medical Emergencies,Manhattan,"4,593",04:18
2012/04,Medical Emergencies,Bronx,"3,188",04:17
2012/04,Medical Emergencies,Staten Island,845,04:23
2012/04,Medical Emergencies,Brooklyn,"4,938",03:44
2012/04,Medical Emergencies,Queens,"3,496",04:23
2012/04,Medical False Alarm,Citywide,265,04:22
2012/04,Medical False Alarm,Manhattan,69,04:05
2012/04,Medical False Alarm,Bronx,57,05:09
2012/04,Medical False Alarm,Staten Island,11,05:30
2012/04,Medical False Alarm,Brooklyn,73,03:52
2012/04,Medical False Alarm,Queens,55,04:25
2012/04,NonMedical Emergencies,Citywide,"15,009",05:01
2012/04,NonMedical Emergencies,Manhattan,"4,051",05:12
2012/04,NonMedical Emergencies,Bronx,"3,025",05:23
2012/04,NonMedical Emergencies,Staten Island,798,04:59
2012/04,NonMedical Emergencies,Brooklyn,"4,277",04:30
2012/04,NonMedical Emergencies,Queens,"2,858",05:07
2012/04,NonStructural Fires,Citywide,"1,679",04:32
2012/04,NonStructural Fires,Manhattan,394,04:33
2012/04,NonStructural Fires,Bronx,244,04:51
2012/04,NonStructural Fires,Staten Island,141,05:04
2012/04,NonStructural Fires,Brooklyn,563,04:04
2012/04,NonStructural Fires,Queens,337,04:39
2012/04,Structural Fires,Citywide,"2,259",03:58
2012/04,Structural Fires,Manhattan,491,04:11
2012/04,Structural Fires,Bronx,489,04:01
2012/04,Structural Fires,Staten Island,119,04:25
2012/04,Structural Fires,Brooklyn,737,03:32
2012/04,Structural Fires,Queens,423,04:18
2012/05,All Fire/Emergency Incidents,Citywide,"40,445",04:35
2012/05,All Fire/Emergency Incidents,Manhattan,"10,909",04:50
2012/05,All Fire/Emergency Incidents,Bronx,"8,093",04:52
2012/05,All Fire/Emergency Incidents,Staten Island,"2,106",04:34
2012/05,All Fire/Emergency Incidents,Brooklyn,"11,463",04:07
2012/05,All Fire/Emergency Incidents,Queens,"7,874",04:42
2012/05,False Alarm,Citywide,"1,885",04:31
2012/05,False Alarm,Manhattan,380,04:51
2012/05,False Alarm,Bronx,456,04:43
2012/05,False Alarm,Staten Island,156,04:33
2012/05,False Alarm,Brooklyn,408,04:04
2012/05,False Alarm,Queens,485,04:27
2012/05,Medical Emergencies,Citywide,"18,655",04:09
2012/05,Medical Emergencies,Manhattan,"5,134",04:20
2012/05,Medical Emergencies,Bronx,"3,479",04:19
2012/05,Medical Emergencies,Staten Island,904,04:23
2012/05,Medical Emergencies,Brooklyn,"5,447",03:47
2012/05,Medical Emergencies,Queens,"3,691",04:20
2012/05,Medical False Alarm,Citywide,345,04:13
2012/05,Medical False Alarm,Manhattan,74,04:18
2012/05,Medical False Alarm,Bronx,82,04:26
2012/05,Medical False Alarm,Staten Island,12,03:31
2012/05,Medical False Alarm,Brooklyn,108,03:53
2012/05,Medical False Alarm,Queens,69,04:31
2012/05,NonMedical Emergencies,Citywide,"16,559",05:04
2012/05,NonMedical Emergencies,Manhattan,"4,630",05:18
2012/05,NonMedical Emergencies,Bronx,"3,459",05:24
2012/05,NonMedical Emergencies,Staten Island,897,04:48
2012/05,NonMedical Emergencies,Brooklyn,"4,553",04:34
2012/05,NonMedical Emergencies,Queens,"3,020",05:12
2012/05,NonStructural Fires,Citywide,939,04:19
2012/05,NonStructural Fires,Manhattan,221,04:33
2012/05,NonStructural Fires,Bronx,166,04:52
2012/05,NonStructural Fires,Staten Island,48,04:13
2012/05,NonStructural Fires,Brooklyn,293,03:43
2012/05,NonStructural Fires,Queens,211,04:31
2012/05,Structural Fires,Citywide,"2,062",04:02
2012/05,Structural Fires,Manhattan,470,04:13
2012/05,Structural Fires,Bronx,451,04:15
2012/05,Structural Fires,Staten Island,89,04:18
2012/05,Structural Fires,Brooklyn,654,03:35
2012/05,Structural Fires,Queens,398,04:12
2012/06,All Fire/Emergency Incidents,Citywide,"42,027",04:41
2012/06,All Fire/Emergency Incidents,Manhattan,"11,141",04:53
2012/06,All Fire/Emergency Incidents,Bronx,"8,270",04:57
2012/06,All Fire/Emergency Incidents,Staten Island,"2,181",04:45
2012/06,All Fire/Emergency Incidents,Brooklyn,"11,931",04:11
2012/06,All Fire/Emergency Incidents,Queens,"8,504",04:52
2012/06,False Alarm,Citywide,"2,173",04:33
2012/06,False Alarm,Manhattan,465,04:47
2012/06,False Alarm,Bronx,541,04:51
2012/06,False Alarm,Staten Island,191,04:31
2012/06,False Alarm,Brooklyn,460,03:55
2012/06,False Alarm,Queens,516,04:36
2012/06,Medical Emergencies,Citywide,"19,159",04:10
2012/06,Medical Emergencies,Manhattan,"5,336",04:23
2012/06,Medical Emergencies,Bronx,"3,479",04:18
2012/06,Medical Emergencies,Staten Island,902,04:26
2012/06,Medical Emergencies,Brooklyn,"5,582",03:46
2012/06,Medical Emergencies,Queens,"3,860",04:22
2012/06,Medical False Alarm,Citywide,339,04:17
2012/06,Medical False Alarm,Manhattan,95,04:29
2012/06,Medical False Alarm,Bronx,66,04:39
2012/06,Medical False Alarm,Staten Island,7,03:44
2012/06,Medical False Alarm,Brooklyn,99,03:54
2012/06,Medical False Alarm,Queens,72,04:14
2012/06,NonMedical Emergencies,Citywide,"17,265",05:14
2012/06,NonMedical Emergencies,Manhattan,"4,539",05:25
2012/06,NonMedical Emergencies,Bronx,"3,594",05:33
2012/06,NonMedical Emergencies,Staten Island,916,05:04
2012/06,NonMedical Emergencies,Brooklyn,"4,805",04:43
2012/06,NonMedical Emergencies,Queens,"3,411",05:26
2012/06,NonStructural Fires,Citywide,"1,168",04:26
2012/06,NonStructural Fires,Manhattan,242,04:30
2012/06,NonStructural Fires,Bronx,187,04:55
2012/06,NonStructural Fires,Staten Island,62,04:59
2012/06,NonStructural Fires,Brooklyn,421,03:49
2012/06,NonStructural Fires,Queens,256,04:53
2012/06,Structural Fires,Citywide,"1,923",04:04
2012/06,Structural Fires,Manhattan,464,04:07
2012/06,Structural Fires,Bronx,403,04:12
2012/06,Structural Fires,Staten Island,103,04:40
2012/06,Structural Fires,Brooklyn,564,03:38
2012/06,Structural Fires,Queens,389,04:21
2012/07,All Fire/Emergency Incidents,Citywide,"43,783",04:41
2012/07,All Fire/Emergency Incidents,Manhattan,"11,613",04:48
2012/07,All Fire/Emergency Incidents,Bronx,"8,719",04:58
2012/07,All Fire/Emergency Incidents,Staten Island,"2,310",04:43
2012/07,All Fire/Emergency Incidents,Brooklyn,"12,295",04:15
2012/07,All Fire/Emergency Incidents,Queens,"8,846",04:52
2012/07,False Alarm,Citywide,"2,372",04:33
2012/07,False Alarm,Manhattan,560,04:48
2012/07,False Alarm,Bronx,599,04:40
2012/07,False Alarm,Staten Island,195,04:29
2012/07,False Alarm,Brooklyn,464,04:05
2012/07,False Alarm,Queens,554,04:36
2012/07,Medical Emergencies,Citywide,"19,331",04:11
2012/07,Medical Emergencies,Manhattan,"5,333",04:16
2012/07,Medical Emergencies,Bronx,"3,577",04:23
2012/07,Medical Emergencies,Staten Island,919,04:21
2012/07,Medical Emergencies,Brooklyn,"5,650",03:49
2012/07,Medical Emergencies,Queens,"3,852",04:23
2012/07,Medical False Alarm,Citywide,342,04:17
2012/07,Medical False Alarm,Manhattan,115,04:29
2012/07,Medical False Alarm,Bronx,62,04:38
2012/07,Medical False Alarm,Staten Island,11,04:12
2012/07,Medical False Alarm,Brooklyn,99,03:41
2012/07,Medical False Alarm,Queens,55,04:32
2012/07,NonMedical Emergencies,Citywide,"18,454",05:13
2012/07,NonMedical Emergencies,Manhattan,"4,813",05:18
2012/07,NonMedical Emergencies,Bronx,"3,837",05:32
2012/07,NonMedical Emergencies,Staten Island,991,05:06
2012/07,NonMedical Emergencies,Brooklyn,"5,099",04:48
2012/07,NonMedical Emergencies,Queens,"3,714",05:24
2012/07,NonStructural Fires,Citywide,"1,344",04:20
2012/07,NonStructural Fires,Manhattan,335,04:23
2012/07,NonStructural Fires,Bronx,230,04:44
2012/07,NonStructural Fires,Staten Island,90,04:33
2012/07,NonStructural Fires,Brooklyn,396,03:54
2012/07,NonStructural Fires,Queens,293,04:31
2012/07,Structural Fires,Citywide,"1,940",03:59
2012/07,Structural Fires,Manhattan,457,04:08
2012/07,Structural Fires,Bronx,414,04:04
2012/07,Structural Fires,Staten Island,104,04:38
2012/07,Structural Fires,Brooklyn,587,03:31
2012/07,Structural Fires,Queens,378,04:17
2012/08,All Fire/Emergency Incidents,Citywide,"42,214",04:38
2012/08,All Fire/Emergency Incidents,Manhattan,"11,506",04:47
2012/08,All Fire/Emergency Incidents,Bronx,"8,375",04:52
2012/08,All Fire/Emergency Incidents,Staten Island,"2,045",04:40
2012/08,All Fire/Emergency Incidents,Brooklyn,"11,859",04:11
2012/08,All Fire/Emergency Incidents,Queens,"8,429",04:51
2012/08,False Alarm,Citywide,"2,194",04:28
2012/08,False Alarm,Manhattan,518,04:44
2012/08,False Alarm,Bronx,518,04:42
2012/08,False Alarm,Staten Island,162,04:37
2012/08,False Alarm,Brooklyn,508,03:56
2012/08,False Alarm,Queens,488,04:27
2012/08,Medical Emergencies,Citywide,"19,395",04:10
2012/08,Medical Emergencies,Manhattan,"5,502",04:20
2012/08,Medical Emergencies,Bronx,"3,565",04:19
2012/08,Medical Emergencies,Staten Island,857,04:26
2012/08,Medical Emergencies,Brooklyn,"5,656",03:48
2012/08,Medical Emergencies,Queens,"3,815",04:19
2012/08,Medical False Alarm,Citywide,371,04:06
2012/08,Medical False Alarm,Manhattan,102,04:13
2012/08,Medical False Alarm,Bronx,87,04:23
2012/08,Medical False Alarm,Staten Island,20,04:10
2012/08,Medical False Alarm,Brooklyn,104,03:36
2012/08,Medical False Alarm,Queens,58,04:24
2012/08,NonMedical Emergencies,Citywide,"17,436",05:08
2012/08,NonMedical Emergencies,Manhattan,"4,719",05:13
2012/08,NonMedical Emergencies,Bronx,"3,613",05:23
2012/08,NonMedical Emergencies,Staten Island,856,04:55
2012/08,NonMedical Emergencies,Brooklyn,"4,756",04:40
2012/08,NonMedical Emergencies,Queens,"3,492",05:26
2012/08,NonStructural Fires,Citywide,"1,044",04:23
2012/08,NonStructural Fires,Manhattan,241,04:15
2012/08,NonStructural Fires,Bronx,191,04:42
2012/08,NonStructural Fires,Staten Island,54,04:33
2012/08,NonStructural Fires,Brooklyn,309,04:00
2012/08,NonStructural Fires,Queens,249,04:43
2012/08,Structural Fires,Citywide,"1,774",04:05
2012/08,Structural Fires,Manhattan,424,04:15
2012/08,Structural Fires,Bronx,401,04:13
2012/08,Structural Fires,Staten Island,96,04:28
2012/08,Structural Fires,Brooklyn,526,03:34
2012/08,Structural Fires,Queens,327,04:27
2012/09,All Fire/Emergency Incidents,Citywide,"39,710",04:37
2012/09,All Fire/Emergency Incidents,Manhattan,"10,437",04:46
2012/09,All Fire/Emergency Incidents,Bronx,"7,765",04:52
2012/09,All Fire/Emergency Incidents,Staten Island,"1,959",04:33
2012/09,All Fire/Emergency Incidents,Brooklyn,"11,340",04:11
2012/09,All Fire/Emergency Incidents,Queens,"8,209",04:50
2012/09,False Alarm,Citywide,"1,877",04:29
2012/09,False Alarm,Manhattan,413,04:31
2012/09,False Alarm,Bronx,474,04:48
2012/09,False Alarm,Staten Island,133,04:16
2012/09,False Alarm,Brooklyn,388,04:08
2012/09,False Alarm,Queens,469,04:30
2012/09,Medical Emergencies,Citywide,"17,832",04:09
2012/09,Medical Emergencies,Manhattan,"4,827",04:15
2012/09,Medical Emergencies,Bronx,"3,357",04:20
2012/09,Medical Emergencies,Staten Island,841,04:17
2012/09,Medical Emergencies,Brooklyn,"5,178",03:49
2012/09,Medical Emergencies,Queens,"3,629",04:22
2012/09,Medical False Alarm,Citywide,291,04:19
2012/09,Medical False Alarm,Manhattan,81,04:27
2012/09,Medical False Alarm,Bronx,57,04:45
2012/09,Medical False Alarm,Staten Island,10,04:42
2012/09,Medical False Alarm,Brooklyn,86,03:45
2012/09,Medical False Alarm,Queens,57,04:32
2012/09,NonMedical Emergencies,Citywide,"16,822",05:06
2012/09,NonMedical Emergencies,Manhattan,"4,405",05:15
2012/09,NonMedical Emergencies,Bronx,"3,311",05:23
2012/09,NonMedical Emergencies,Staten Island,826,04:49
2012/09,NonMedical Emergencies,Brooklyn,"4,826",04:37
2012/09,NonMedical Emergencies,Queens,"3,454",05:21
2012/09,NonStructural Fires,Citywide,"1,001",04:21
2012/09,NonStructural Fires,Manhattan,251,04:22
2012/09,NonStructural Fires,Bronx,171,04:52
2012/09,NonStructural Fires,Staten Island,57,04:07
2012/09,NonStructural Fires,Brooklyn,288,03:48
2012/09,NonStructural Fires,Queens,234,04:42
2012/09,Structural Fires,Citywide,"1,887",04:02
2012/09,Structural Fires,Manhattan,460,04:10
2012/09,Structural Fires,Bronx,395,04:11
2012/09,Structural Fires,Staten Island,92,04:37
2012/09,Structural Fires,Brooklyn,574,03:35
2012/09,Structural Fires,Queens,366,04:17
